233.00	262.00	294.00	311.00	349.00	392.00	440.00	466.00	523.00	587.00	622.00	698.00	784.00	880.00	932.00
3.00	5.00	15.00	2.00	9.00	5.00	14.00	3.00	10.00	15.00	4.00	31.00	5.00	45.00	6.00
2.00	3.00	8.00	1.00	4.00	2.00	5.00	1.00	3.00	4.00	1.00	7.00	1.00	8.00	1.00
234.90	261.00	293.63	313.20	352.35	391.50	438.48	469.80	522.00	587.25	626.40	693.51	783.00	880.88	939.60
-0.82	0.38	0.13	-0.71	-0.96	0.13	0.35	-0.82	0.19	-0.04	-0.71	0.64	0.13	-0.10	-0.82
														
														
220.06	247.44	277.67	293.72	329.61	370.22	415.56	440.11	493.94	554.39	587.44	659.22	740.44	831.11	880.22
7.00	11.00	7.00	15.00	17.00	19.00	8.00	14.00	22.00	25.00	15.00	21.00	33.00	16.00	45.00
5.00	7.00	4.00	8.00	8.00	8.00	3.00	5.00	7.00	7.00	4.00	5.00	7.00	3.00	8.00
219.24	246.09	274.05	293.63	332.78	371.93	417.60	438.48	492.17	559.29	587.25	657.72	738.26	835.20	880.88
0.37	0.55	1.30	0.03	-0.96	-0.46	-0.49	0.37	0.36	-0.88	0.03	0.23	0.30	-0.49	-0.07
														
														
246.71	277.41	311.29	329.29	369.53	415.06	465.88	493.41	553.76	621.53	658.59	739.06	830.12	931.76	986.82
11.00	7.00	2.00	17.00	19.00	8.00	3.00	22.00	7.00	4.00	21.00	33.00	37.00	6.00	19.00
7.00	4.00	1.00	8.00	8.00	3.00	1.00	7.00	2.00	1.00	5.00	7.00	7.00	1.00	3.00
246.09	274.05	313.20	332.78	371.93	417.60	469.80	492.17	548.10	626.40	657.72	738.26	827.74	939.60	991.80
0.25	1.21	-0.61	-1.06	-0.65	-0.61	-0.84	0.25	1.02	-0.78	0.13	0.11	0.29	-0.84	-0.50
														
														
250.00	280.00	440.00	587.00	193.00										
8.00	9.00	14.00	15.00	5.00										
5.00	5.00	5.00	4.00	4.00										
250.56	281.88	438.48	587.25	195.75										
-0.22	-0.67	0.35	-0.04	-1.42										










156.60	329.61	324.61	334.61	5.00				
	1.00	2.00	3.00	4.00	5.00	6.00	7.00	8.00
1.00	156.60	78.30	52.20	39.15	31.32	26.10	22.37	19.58
2.00	313.20	156.60	104.40	78.30	62.64	52.20	44.74	39.15
3.00	469.80	234.90	156.60	117.45	93.96	78.30	67.11	58.73
4.00	626.40	313.20	208.80	156.60	125.28	104.40	89.49	78.30
5.00	783.00	391.50	261.00	195.75	156.60	130.50	111.86	97.88
6.00	939.60	469.80	313.20	234.90	187.92	156.60	134.23	117.45
7.00	1096.20	548.10	365.40	274.05	219.24	182.70	156.60	137.03
8.00	1252.80	626.40	417.60	313.20	250.56	208.80	178.97	156.60
9.00	1409.40	704.70	469.80	352.35	281.88	234.90	201.34	176.18
10.00	1566.00	783.00	522.00	391.50	313.20	261.00	223.71	195.75
11.00	1722.60	861.30	574.20	430.65	344.52	287.10	246.09	215.33
12.00	1879.20	939.60	626.40	469.80	375.84	313.20	268.46	234.90
13.00	2035.80	1017.90	678.60	508.95	407.16	339.30	290.83	254.48
14.00	2192.40	1096.20	730.80	548.10	438.48	365.40	313.20	274.05
15.00	2349.00	1174.50	783.00	587.25	469.80	391.50	335.57	293.63
16.00	2505.60	1252.80	835.20	626.40	501.12	417.60	357.94	313.20
17.00	2662.20	1331.10	887.40	665.55	532.44	443.70	380.31	332.78
18.00	2818.80	1409.40	939.60	704.70	563.76	469.80	402.69	352.35
19.00	2975.40	1487.70	991.80	743.85	595.08	495.90	425.06	371.93
20.00	3132.00	1566.00	1044.00	783.00	626.40	522.00	447.43	391.50
21.00	3288.60	1644.30	1096.20	822.15	657.72	548.10	469.80	411.08
22.00	3445.20	1722.60	1148.40	861.30	689.04	574.20	492.17	430.65
23.00	3601.80	1800.90	1200.60	900.45	720.36	600.30	514.54	450.23
24.00	3758.40	1879.20	1252.80	939.60	751.68	626.40	536.91	469.80
25.00	3915.00	1957.50	1305.00	978.75	783.00	652.50	559.29	489.38
26.00	4071.60	2035.80	1357.20	1017.90	814.32	678.60	581.66	508.95
